日付,始値,高値,安値,終値,出来高,上昇率,基準超
2016/04/01,3295,3385,3255,3335,1842100,1.01213960546282,0
2016/04/04,3325,3410,3300,3370,1353300,1.01353383458647,0
2016/04/05,3375,3400,3285,3300,1304300,0.977777777777778,0
2016/04/06,3300,3330,3275,3320,878600,1.00606060606061,0
2016/04/07,3360,3400,3340,3395,1071900,1.01041666666667,0
2016/04/08,3370,3480,3360,3440,1143900,1.02077151335312,0
2016/04/11,3430,3470,3405,3460,740700,1.00874635568513,0
2016/04/12,3465,3495,3425,3460,830200,0.998556998556999,0
2016/04/13,3485,3545,3470,3515,1008800,1.00860832137733,0
2016/04/14,3550,3580,3525,3575,979700,1.00704225352113,0
2016/04/15,3570,3730,3555,3725,1789800,1.04341736694678,1
2016/04/18,3695,3775,3645,3740,2013400,1.01217861975643,0
2016/04/19,3795,3855,3685,3750,1991100,0.988142292490119,0
2016/04/20,3765,3770,3460,3520,3077700,0.934926958831341,0
2016/04/21,3530,3590,3495,3565,1982300,1.00991501416431,0
2016/04/22,3500,3560,3445,3510,1568500,1.00285714285714,0
2016/04/25,3540,3545,3485,3510,936600,0.991525423728814,0
2016/04/26,3520,3560,3470,3520,838300,1,0
2016/04/27,3545,3585,3530,3570,1002800,1.00705218617772,0
2016/04/28,3550,3560,3435,3435,1424500,0.967605633802817,0
2016/05/02,3345,3485,3335,3475,1441500,1.03886397608371,1
2016/05/06,3460,3520,3410,3440,1453500,0.994219653179191,0
2016/05/09,3475,3500,3440,3470,584400,0.998561151079137,0
2016/05/10,3485,3580,3315,3480,2837700,0.998565279770445,0
2016/05/11,3410,3550,3410,3490,1123500,1.02346041055718,0
2016/05/12,3420,3480,3400,3455,829400,1.01023391812866,0
2016/05/13,3470,3515,3435,3480,1101400,1.0028818443804,0
2016/05/16,3505,3575,3490,3500,706500,0.998573466476462,0
2016/05/17,3495,3590,3495,3590,920600,1.02718168812589,0
2016/05/18,3590,3695,3590,3675,1291900,1.02367688022284,0
2016/05/19,3715,3800,3715,3795,1033600,1.02153432032301,0
2016/05/20,3820,3940,3760,3855,1677900,1.00916230366492,0
2016/05/23,3855,3910,3835,3895,1102400,1.01037613488975,0
2016/05/24,3875,3930,3850,3915,972200,1.01032258064516,0
