日付,始値,高値,安値,終値,出来高,上昇率,基準超
2016/04/01,3440,3495,3340,3475,390600,1.01017441860465,0
2016/04/04,3405,3515,3320,3490,450300,1.02496328928047,0
2016/04/05,3600,3770,3550,3685,1304900,1.02361111111111,0
2016/04/06,3685,4015,3675,3895,1233400,1.05698778833107,1
2016/04/07,3825,3975,3810,3965,840800,1.03660130718954,1
2016/04/08,3895,3965,3825,3870,702400,0.993581514762516,0
2016/04/11,3900,3945,3790,3830,443000,0.982051282051282,0
2016/04/12,3820,3840,3690,3715,532400,0.972513089005236,0
2016/04/13,3750,3905,3725,3885,500900,1.036,1
2016/04/14,3925,3945,3760,3805,374900,0.969426751592357,0
2016/04/15,3750,3785,3730,3765,213400,1.004,0
2016/04/18,3700,3750,3665,3725,186100,1.00675675675676,0
2016/04/19,3775,3785,3715,3745,176400,0.99205298013245,0
2016/04/20,3755,3765,3695,3705,145200,0.986684420772304,0
2016/04/21,3755,3840,3735,3740,202000,0.996005326231691,0
2016/04/22,3715,3755,3620,3670,240900,0.987886944818304,0
2016/04/25,3695,3695,3610,3615,179200,0.978349120433018,0
2016/04/26,3610,3840,3605,3775,456300,1.04570637119114,1
2016/04/27,3755,3815,3725,3790,265000,1.00932090545939,0
2016/04/28,3785,3785,3595,3680,429900,0.97225891677675,0
2016/05/02,3590,3715,3580,3690,295300,1.02785515320334,0
2016/05/06,3655,3690,3610,3615,217500,0.9890560875513,0
2016/05/09,3650,3660,3565,3605,239800,0.987671232876712,0
2016/05/10,3585,3635,3580,3620,141300,1.00976290097629,0
2016/05/11,3645,3650,3535,3590,192900,0.984910836762689,0
2016/05/12,3580,3585,3505,3515,113300,0.981843575418994,0
2016/05/13,3520,3585,3460,3555,137000,1.00994318181818,0
2016/05/16,3535,3560,3430,3440,141900,0.973125884016973,0
2016/05/17,3420,3520,3420,3510,102900,1.02631578947368,0
2016/05/18,3500,3500,3410,3445,145600,0.984285714285714,0
2016/05/19,3455,3490,3425,3455,161600,1,0
2016/05/20,3465,3605,3465,3590,210700,1.03607503607504,1
2016/05/23,3585,3585,3460,3475,237600,0.96931659693166,0
2016/05/24,3480,3500,3420,3430,116100,0.985632183908046,0
2016/05/25,3495,3635,3495,3545,292900,1.01430615164521,0
2016/05/26,3630,3670,3580,3650,216700,1.00550964187328,0
2016/05/27,3630,3655,3575,3600,111900,0.991735537190083,0
2016/05/30,3650,3680,3575,3655,224900,1.0013698630137,0
2016/05/31,3640,3670,3590,3660,190300,1.00549450549451,0
2016/06/01,3630,3680,3580,3600,209200,0.991735537190083,0
2016/06/02,3600,3675,3595,3625,234600,1.00694444444444,0
2016/06/03,3850,4020,3830,3905,1035300,1.01428571428571,0
2016/06/06,3880,4085,3850,3905,977000,1.00644329896907,0
2016/06/07,3915,3965,3895,3915,427800,1,0
2016/06/08,3920,4080,3920,4030,532700,1.0280612244898,0
2016/06/09,3985,4060,3975,4000,262100,1.00376411543287,0
2016/06/10,4015,4025,3900,3930,253800,0.978829389788294,0
2016/06/13,3820,3890,3800,3865,210500,1.01178010471204,0
2016/06/14,3850,3970,3800,3830,375600,0.994805194805195,0
2016/06/15,3850,3910,3785,3865,214100,1.0038961038961,0
2016/06/16,3835,3855,3715,3730,160900,0.972620599739244,0
2016/06/17,3760,3810,3710,3725,245900,0.990691489361702,0
2016/06/20,3785,3830,3755,3800,230100,1.00396301188904,0
2016/06/21,3760,3795,3690,3780,209700,1.00531914893617,0
2016/06/22,3765,3765,3670,3730,188400,0.99070385126162,0
2016/06/23,3800,3900,3775,3810,357800,1.00263157894737,0
2016/06/24,3950,3965,3620,3740,544100,0.946835443037975,0
2016/06/27,3810,3960,3795,3875,521400,1.01706036745407,0
2016/06/28,3880,4210,3865,4160,920800,1.07216494845361,1
2016/06/29,4160,4160,4035,4065,497700,0.977163461538462,0
2016/06/30,4100,4100,3950,4040,459100,0.985365853658537,0
2016/07/01,3760,3820,3665,3725,1247700,0.990691489361702,0
2016/07/04,3795,3805,3645,3695,620200,0.97364953886693,0
2016/07/05,3555,3605,3335,3395,1318100,0.954992967651195,0
2016/07/06,3345,3350,3135,3230,1403900,0.965620328849028,0
2016/07/07,3315,3320,3180,3285,715700,0.990950226244344,0
2016/07/08,3335,3355,3270,3285,588600,0.985007496251874,0
2016/07/11,3350,3370,3205,3250,582100,0.970149253731343,0
2016/07/12,3310,3310,3235,3250,611500,0.981873111782477,0
2016/07/13,3360,3375,3255,3280,463900,0.976190476190476,0
2016/07/14,3260,3325,3245,3275,305300,1.00460122699387,0
2016/07/15,3275,3285,3140,3175,429300,0.969465648854962,0
2016/07/19,3105,3320,3095,3270,407100,1.05314009661836,1
2016/07/20,3325,3460,3325,3430,636300,1.03157894736842,1
2016/07/21,3430,3430,3240,3250,590600,0.947521865889213,0
2016/07/22,3270,3325,3250,3305,388500,1.01070336391437,0
2016/07/25,3280,3280,3165,3185,434600,0.971036585365854,0
2016/07/26,3220,3285,3180,3235,533200,1.00465838509317,0
2016/07/27,3245,3255,3115,3150,537800,0.970724191063174,0
2016/07/28,3150,3195,3110,3175,288000,1.00793650793651,0
2016/07/29,3140,3225,3095,3220,390000,1.02547770700637,0
2016/08/01,3170,3215,3125,3180,369800,1.00315457413249,0
2016/08/02,3105,3205,3090,3150,449300,1.01449275362319,0
2016/08/03,2800,2819,2602,2616,1719300,0.934285714285714,0
2016/08/04,2590,2598,2473,2501,1515500,0.965637065637066,0
2016/08/05,2510,2518,2406,2456,1004900,0.978486055776892,0
2016/08/08,2477,2486,2393,2440,631200,0.985062575696407,0
2016/08/09,2433,2520,2409,2516,572200,1.0341142622277,1
2016/08/10,2481,2520,2469,2482,429600,1.00040306328094,0
2016/08/12,2518,2534,2487,2502,266100,0.993645750595711,0
2016/08/15,2506,2512,2443,2457,354300,0.980446927374302,0
2016/08/16,2459,2466,2410,2435,312300,0.9902399349329,0
2016/08/17,2423,2434,2387,2408,276100,0.993809327280231,0
2016/08/18,2401,2459,2373,2378,343400,0.990420658059142,0
2016/08/19,2373,2378,2299,2325,387200,0.979772439949431,0
2016/08/22,2349,2408,2317,2398,386500,1.02085994040017,0
2016/08/23,2393,2452,2385,2439,343600,1.01922273297117,0
2016/08/24,2475,2484,2392,2430,322300,0.981818181818182,0
2016/08/25,2500,2564,2487,2554,738900,1.0216,0
2016/08/26,2600,2714,2586,2683,1430100,1.03192307692308,1
2016/08/29,2548,2574,2354,2363,1235300,0.927394034536892,0
2016/08/30,2321,2321,2275,2281,526200,0.98276604911676,0
2016/08/31,2278,2331,2268,2304,438100,1.01141352063213,0
2016/09/01,2341,2363,2296,2329,636700,0.994873985476292,0
