日付,始値,高値,安値,終値,出来高,上昇率,基準超
2016/04/01,550,552,535,537,1634000,0.976363636363636,0
2016/04/04,537,555,536,542,1532300,1.00931098696462,0
2016/04/05,539,540,519,520,1508700,0.964749536178108,0
2016/04/06,519,534,517,527,1584400,1.01541425818882,0
2016/04/07,526,542,524,535,1230900,1.0171102661597,0
2016/04/08,528,551,528,544,1614300,1.03030303030303,1
2016/04/11,542,545,533,543,1110000,1.00184501845018,0
2016/04/12,545,555,543,552,1271000,1.01284403669725,0
2016/04/13,556,556,543,552,1522900,0.992805755395683,0
2016/04/14,557,558,545,554,2072800,0.994614003590664,0
2016/04/15,558,565,555,558,1178300,1,0
2016/04/18,558,592,556,588,4055000,1.05376344086022,1
2016/04/19,595,599,575,583,2536700,0.979831932773109,0
2016/04/20,585,589,571,572,1360600,0.977777777777778,0
2016/04/21,582,583,573,580,941600,0.996563573883162,0
2016/04/22,574,576,567,574,1440200,1,0
2016/04/25,576,577,558,561,1443500,0.973958333333333,0
2016/04/26,555,565,549,554,1688000,0.998198198198198,0
2016/04/27,552,558,545,552,1106600,1,0
2016/04/28,552,556,536,537,2219500,0.972826086956522,0
2016/05/02,530,530,522,524,1418500,0.988679245283019,0
2016/05/06,526,526,512,520,1409300,0.988593155893536,0
2016/05/09,525,538,521,537,1169300,1.02285714285714,0
2016/05/10,538,548,534,548,1173300,1.0185873605948,0
2016/05/11,550,567,535,554,3770900,1.00727272727273,0
2016/05/12,555,578,555,572,2951800,1.03063063063063,1
2016/05/13,572,576,566,569,1481100,0.994755244755245,0
2016/05/16,570,582,567,570,1469100,1,0
2016/05/17,573,583,569,582,1396300,1.01570680628272,0
2016/05/18,584,598,584,594,3021800,1.01712328767123,0
2016/05/19,600,615,600,614,2704700,1.02333333333333,0
2016/05/20,609,618,608,611,1892500,1.00328407224959,0
2016/05/23,608,608,597,606,1403200,0.996710526315789,0
2016/05/24,604,614,602,605,963100,1.00165562913907,0
2016/05/25,608,613,603,604,707200,0.993421052631579,0
2016/05/26,613,613,607,608,872300,0.99184339314845,0
2016/05/27,610,614,609,613,841000,1.00491803278689,0
2016/05/30,617,622,614,621,1012800,1.0064829821718,0
2016/05/31,623,624,615,624,1024300,1.0016051364366,0
2016/06/01,616,622,612,614,1104700,0.996753246753247,0
2016/06/02,607,608,589,596,1074700,0.981878088962109,0
2016/06/03,591,599,590,593,596000,1.00338409475465,0
2016/06/06,585,592,581,590,838700,1.00854700854701,0
2016/06/07,592,596,579,583,999700,0.984797297297297,0
2016/06/08,583,587,571,583,954100,1,0
2016/06/09,587,589,577,580,1207400,0.988074957410562,0
2016/06/10,579,583,575,582,1071400,1.00518134715026,0
2016/06/13,569,575,562,562,1525300,0.987697715289982,0
2016/06/14,555,563,548,553,1110600,0.996396396396396,0
2016/06/15,543,549,538,540,1541600,0.994475138121547,0
2016/06/16,550,550,531,535,1810400,0.972727272727273,0
2016/06/17,537,544,526,531,1409600,0.988826815642458,0
2016/06/20,537,559,537,556,1175700,1.03538175046555,1
2016/06/21,559,559,548,557,799300,0.996422182468694,0
2016/06/22,554,556,546,551,676500,0.994584837545126,0
2016/06/23,557,558,548,557,938400,1,0
2016/06/24,561,561,510,521,1825000,0.928698752228164,0
2016/06/27,525,551,524,549,1266900,1.04571428571429,1
